"volume","page","mission_number","type","church","city","state","start_date","end_date","confessions_total","converts","under_instruction","diocese","confessions_adults","confessions_children","confessions_men","confessions_women","order","notes","converts_adult","converts_children","temperance_pledges","confirmed","location","year","converts_total","geo.lon","geo.lat"
1,145,79,"mission","St. John the Baptist's Church","Trenton","NJ","12/20/1857","12/31/1857",2050,5,0,"Newark",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Trenton NJ",1857,5,-74.7429384,40.2170534
1,148,80,"mission","Cathedral of Burlington","Burlington","VT","1/10/1858","1/18/1858",1400,2,0,"Burlington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Burlington VT",1858,2,-73.212072,44.4758825
1,151,81,"mission","St John Baptist's Church","Plattsburg","NY","1/24/1858","1/31/1858",1100,1,0,"Albany",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Plattsburg NY",1858,1,-73.4529124,44.6994873
1,153,82,"mission","","Brandon","VT","2/7/1858","2/11/1858",277,0,0,"Burlington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Brandon VT",1858,0,-73.087648,43.7981572
1,155,83,"mission","","East Rutland","VT","2/7/1858","2/15/1858",840,0,0,"Burlington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"East Rutland VT",1858,0,-72.9726065,43.6106237
1,156,84,"mission","","West Rutland","VT","2/21/1858","3/1/1858",1008,3,0,"Burlington",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"West Rutland VT",1858,3,-73.0451081,43.5930919
1,157,85,"mission","","Saratoga Springs","NY","3/7/1858","3/15/1858",970,0,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Saratoga Springs NY",1858,0,-73.7845651,43.0831301
1,158,86,"mission","","Little Falls","NY","3/21/1858","3/28/1858",800,3,0,"",NA,NA,NA,NA,"Redemptorist","",NA,NA,NA,NA,"Little Falls NY",1858,3,-74.8595957,43.0434039
1,169,1,"mission","St. Patrick's Church","Watertown","NY","4/18/1858","4/26/1858",1073,5,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Watertown NY",1858,5,-75.9107565,43.9747838
1,172,2,"mission","St. Bridget's Church","New York","NY","5/2/1858","5/16/1858",5700,15,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1858,15,-74.0059731,40.7143528
1,178,3,"mission","Cathedral of Ss. Peter & Paul","Providence","RI","9/19/1858","10/1/1858",4430,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Providence RI",1858,0,-71.4128343,41.8239891
1,183,4,"mission","St. Peter's Cathedral","New York","NY","10/10/1858","10/17/1858",2000,0,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1858,0,-74.0059731,40.7143528
1,186,5,"mission","St. Mary's Cathedral","Covington","KY","10/24/1858","11/1/1858",1450,0,0,"Covington",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Covington KY",1858,0,-84.5085536,39.0836712
1,189,6,"mission","St. Augustine's Church","Kalamazoo","MI","11/7/1858","11/14/1858",430,2,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Kalamazoo MI",1858,2,-85.5872286,42.2917069
1,192,7,"mission","Church of the Immaculate Conception","Marshall","MI","11/21/1858","11/26/1858",575,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Marshall MI",1858,1,-84.9633148,42.2722641
1,193,8,"mission","St. John's Church","Jackson","MI","11/28/1858","12/5/1858",450,1,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Jackson MI",1858,1,-84.4013462,42.245869
1,196,9,"mission","St. Thomas's Church","Ann Arbor","MI","12/12/1858","12/19/1858",910,5,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Ann Arbor MI",1858,5,-83.7430378,42.2808256
1,200,10,"mission","St. Mary's Church","New Haven","CT","1/2/1859","1/14/1859",2060,4,0,"Hartford",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New Haven CT",1859,4,-72.9278835,41.308274
1,202,11,"mission","St. Paul's Church","Princeton","NJ","1/23/1859","1/31/1859",570,1,0,"Newark",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Princeton NJ",1859,1,-74.6672226,40.3572976
1,206,12,"mission","St. Peter's Church","Belleville","NJ","2/13/1859","2/20/1859",1135,2,0,"Newark",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Belleville NJ",1859,2,-74.1500469,40.7936744
1,209,13,"mission","St. Patrick's Church","Quebec","QC","3/20/1859","4/3/1859",7250,50,0,"Quebec",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Quebec QC",1859,50,-71.242796,46.8032826
1,218,14,"mission","St. Peter's Church","Troy","NY","4/10/1859","4/20/1859",2600,6,0,"Albany",2440,160,NA,NA,"Paulist","",NA,NA,NA,NA,"Troy NY",1859,6,-73.6917851,42.7284117
1,223,15,"mission","Cathedral of the Immaculate Conception","St. John","NB","9/4/1859","9/15/1859",8450,6,0,"Halifax",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"St. John NB",1859,6,-66.0633081,45.2733153
1,227,16,"mission","St. Mary's Church","Jersey City","NJ","10/2/1859","10/10/1859",1950,3,0,"Newark",1800,150,NA,NA,"Paulist","",NA,NA,NA,NA,"Jersey City NJ",1859,3,-74.0776417,40.7281575
1,230,17,"mission","St. Mary's Church","New York","NY","10/16/1859","10/23/1859",3500,5,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1859,5,-74.0059731,40.7143528
1,234,18,"mission","St. James' Church","Bridgeport","CT","10/30/1859","11/7/1859",1570,0,0,"Hartford",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Bridgeport CT",1859,0,-73.1951767,41.1865478
1,237,19,"mission","Church of St. Paul the Apostle","New York","NY","12/18/1859","12/25/1859",800,0,0,"New York",725,75,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1859,0,-74.0059731,40.7143528
1,239,20,"mission","St. Mary's Church","Clifton, Staten Island","NY","1/1/1860","1/8/1860",1250,3,0,"New York",1159,91,NA,NA,"Paulist","",NA,NA,NA,NA,"Clifton, Staten Island NY",1860,3,-74.0784785,40.6189726
1,241,21,"mission","Church of the Immaculate Conception","Waterbury","CT","1/15/1860","1/29/1860",2800,3,0,"Hartford",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Waterbury CT",1860,3,-73.0514965,41.5581525
1,244,22,"mission","St. John's Church","Middletown","CT","2/5/1860","2/14/1860",2270,3,0,"Hartford",2100,170,NA,NA,"Paulist","",NA,NA,NA,NA,"Middletown CT",1860,3,-72.6506488,41.5623209
1,247,23,"mission","St. Mary's Church","New Britain","CT","2/19/1860","2/28/1860",1230,0,0,"Hartford",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New Britain CT",1860,0,-72.7795419,41.6612104
1,249,24,"mission","St. Rose's Church","Meriden","CT","3/11/1860","3/18/1860",810,0,0,"Hartford",770,40,NA,NA,"Paulist","",NA,NA,NA,NA,"Meriden CT",1860,0,-72.8070435,41.5381535
1,250,25,"mission","Church of St. Paul the Apostle","New York","NY","3/25/1860","3/28/1860",925,0,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1860,0,-74.0059731,40.7143528
1,251,26,"mission","Cathedral","Kingston","ON","4/15/1860","4/25/1860",2640,5,0,"Kingston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Kingston ON",1860,5,-76.4859544,44.2311717
1,255,27,"mission","St. Mary's Church","Norwich","CT","5/6/1860","5/16/1860",1900,5,0,"",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Norwich CT",1860,5,-72.0759105,41.5242649
1,259,28,"mission","Church of the Immaculate Conception","Lawrence","MA","9/30/1860","10/12/1860",2150,0,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Lawrence MA",1860,0,-71.1631137,42.7070354
1,261,29,"mission","St. Patrick's Church","Elizabethport","NJ","10/20/1860","10/28/1860",1000,1,0,"Newark",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Elizabethport NJ",1860,1,-74.1870888,40.6501031
1,263,30,"mission","St. Soryl's Church","Hudson City","NJ","11/4/1860","11/12/1860",1100,1,0,"Newark",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Hudson City NJ",1860,1,-73.9242251,41.1896081
1,266,31,"mission","St. James Church","New York","NY","11/25/1860","12/9/1860",6950,10,0,"New York",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"New York NY",1860,10,-74.0059731,40.7143528
1,271,32,"mission","St. John Baptist Church","Boston","MA","12/30/1860","1/10/1861",4550,0,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Boston MA",1860,0,-71.0597732,42.3584308
1,274,33,"mission","St. Gregory's Church","Haverhill","MA","1/20/1861","1/28/1861",1002,4,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Haverhill MA",1861,4,-71.0772796,42.7762015
1,276,34,"mission","Church of the Holy Redeemer","East Boston","MA","2/13/1861","2/27/1861",2900,0,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"East Boston MA",1861,0,-71.0388601,42.3702137
1,278,35,"mission","Church of the Immaculate Conception","Newburyport","MA","3/3/1861","3/13/1861",1900,0,0,"Boston",NA,NA,NA,NA,"Paulist","",NA,NA,NA,NA,"Newburyport MA",1861,0,-70.8772751,42.8125913
